user_id,age,occupation,gender
49929,27,other or not specified,M
27808,30,self-employed,M
58446,30,technician/engineer,M
54653,28,college/grad student,M
2595,28,sales/marketing,M
97197,27,executive/managerial,M
35766,27,college/grad student,M
4813,23,tradesman/craftsman,M
42272,32,scientist,F
101355,48,retired,F
93069,27,executive/managerial,M
72355,43,other or not specified,M
30340,34,sales/marketing,M
72319,32,college/grad student,M
41348,29,other or not specified,M
100919,28,self-employed,M
47549,24,college/grad student,F
84016,10,K-12 student,M
75294,28,scientist,M
61415,27,executive/managerial,M
75631,29,other or not specified,M
34380,26,homemaker,F
81285,31,sales/marketing,M
75426,27,executive/managerial,M
51645,18,sales/marketing,M
84011,30,sales/marketing,M
22481,24,sales/marketing,M
72913,66,executive/managerial,M
22992,34,sales/marketing,M
2832,26,college/grad student,M
63939,20,sales/marketing,M
50177,29,college/grad student,M
101268,26,self-employed,M
1611,43,academic/educator,M
52308,32,college/grad student,M
26137,34,college/grad student,M
88271,25,sales/marketing,M
14419,29,other or not specified,F
57811,44,sales/marketing,F
79833,39,artist,M
84916,31,sales/marketing,M
90470,34,college/grad student,M
76484,32,scientist,M
80189,29,college/grad student,M
31440,83,executive/managerial,F
26795,28,sales/marketing,M
88700,27,other or not specified,F
73381,32,scientist,M
63735,27,self-employed,M
18979,33,sales/marketing,M
44194,33,executive/managerial,F
50663,31,college/grad student,M
32205,31,retired,F
73479,14,K-12 student,M
103747,28,scientist,M
35595,27,college/grad student,M
77374,26,sales/marketing,M
17191,26,executive/managerial,M
57415,30,other or not specified,M
93676,64,executive/managerial,M
77279,34,scientist,M
9851,18,K-12 student,M
58739,30,scientist,F
97761,27,customer service,M
96983,29,executive/managerial,M
12337,29,retired,M
71477,27,college/grad student,M
80557,34,college/grad student,M
36435,28,college/grad student,M
55706,32,scientist,F
35716,28,sales/marketing,M
64149,40,executive/managerial,F
36821,34,sales/marketing,M
19604,26,college/grad student,F
42309,33,scientist,M
35780,27,sales/marketing,M
37620,32,other or not specified,M
94379,43,sales/marketing,F
65212,29,executive/managerial,M
11225,21,K-12 student,M
85307,32,executive/managerial,M
3277,33,sales/marketing,M
21675,34,executive/managerial,M
64007,34,scientist,M
21022,25,scientist,M
57943,27,college/grad student,M
21499,25,college/grad student,M
80969,28,executive/managerial,M
69204,22,college/grad student,M
10975,34,executive/managerial,M
79203,29,college/grad student,M
91831,29,executive/managerial,M
51348,25,executive/managerial,M
2777,18,scientist,M
96760,26,executive/managerial,M
63145,32,college/grad student,F
93468,59,lawyer,F
9384,32,college/grad student,M
87310,33,college/grad student,M
96875,30,sales/marketing,M
20222,28,other or not specified,M
89440,29,executive/managerial,M
57621,26,homemaker,M
79088,39,scientist,M
8453,22,college/grad student,M
99780,26,scientist,M
33939,34,self-employed,M
35016,29,scientist,M
55817,34,executive/managerial,M
86073,24,scientist,M
6852,32,college/grad student,M
71856,27,college/grad student,M
60456,30,self-employed,M
48513,25,executive/managerial,F
76553,27,tradesman/craftsman,M
93174,28,college/grad student,F
57900,29,academic/educator,M
29132,32,college/grad student,M
72157,31,self-employed,M
24582,33,scientist,F
14981,31,executive/managerial,M
35190,32,sales/marketing,M
67880,28,college/grad student,M
37273,28,executive/managerial,M
47175,33,college/grad student,F
28408,26,self-employed,M
62700,31,clerical/admin,M
21769,27,college/grad student,M
553,15,sales/marketing,M
54514,27,scientist,M
49240,23,sales/marketing,M
100205,33,self-employed,M
20251,30,college/grad student,M
20338,32,self-employed,M
44914,28,college/grad student,M
94676,26,executive/managerial,M
26148,30,scientist,M
30558,29,homemaker,F
47940,28,college/grad student,M
59370,25,scientist,M
4985,32,self-employed,F
94364,26,academic/educator,F
79653,28,sales/marketing,M
28806,26,homemaker,M
101083,27,college/grad student,M
10782,25,technician/engineer,M
92252,33,college/grad student,M
60106,30,scientist,M
18052,32,college/grad student,F
43385,34,other or not specified,M
19632,34,other or not specified,F
49728,31,executive/managerial,M
55703,21,sales/marketing,M
6348,26,college/grad student,M
28113,31,college/grad student,M
27552,25,scientist,M
85859,70,retired,F
62448,68,other or not specified,M
68786,48,college/grad student,M
103763,31,other or not specified,F
37128,30,scientist,M
20700,26,executive/managerial,M
1832,26,college/grad student,M
53197,30,executive/managerial,M
1098,27,executive/managerial,M
99090,26,self-employed,M
63246,33,other or not specified,M
33422,32,college/grad student,M
60589,26,self-employed,F
64030,33,technician/engineer,M
91480,30,college/grad student,M
17180,31,college/grad student,M
31792,26,college/grad student,M
96858,25,sales/marketing,M
57728,32,academic/educator,F
49697,25,college/grad student,M
6792,27,homemaker,F
26667,42,technician/engineer,M
10820,34,college/grad student,M
32967,33,executive/managerial,M
77573,27,executive/managerial,M
53061,32,executive/managerial,M
5300,31,scientist,M
47193,40,executive/managerial,F
68594,32,scientist,M
3733,29,sales/marketing,M
9063,26,other or not specified,M
98036,26,college/grad student,M
52832,29,academic/educator,M
98701,52,self-employed,M
18272,30,college/grad student,M
46027,26,college/grad student,M
45730,18,scientist,M
86170,30,executive/managerial,M
65448,29,college/grad student,M
36725,21,artist,F
103627,28,college/grad student,M
30507,19,sales/marketing,M
12542,31,college/grad student,M
7446,28,K-12 student,M
94630,32,college/grad student,M
5456,33,college/grad student,M
21775,30,college/grad student,M
24719,33,sales/marketing,M
14669,29,college/grad student,M
16402,29,writer,F
5385,21,other or not specified,M
102681,40,self-employed,F
11153,42,programmer,M
81025,30,executive/managerial,M
39158,18,sales/marketing,M
63941,18,scientist,M
10340,58,doctor/health care,M
76486,42,sales/marketing,M
86608,31,executive/managerial,M
57659,30,executive/managerial,M
23618,33,scientist,M
94827,49,sales/marketing,M
55559,22,scientist,M
12447,28,self-employed,F
95469,33,college/grad student,F
26676,25,executive/managerial,M
24314,76,sales/marketing,M
103611,25,academic/educator,M
102578,28,college/grad student,M
70750,29,college/grad student,M
39781,26,college/grad student,M
76686,34,college/grad student,M
51277,32,scientist,M
46851,39,sales/marketing,M
26933,25,executive/managerial,M
92766,31,executive/managerial,F
68754,32,executive/managerial,F
60884,34,executive/managerial,M
76404,23,sales/marketing,M
52518,25,college/grad student,F
84206,27,college/grad student,M
92096,27,self-employed,M
76559,61,retired,F
85522,26,executive/managerial,M
82131,27,sales/marketing,M
